N,p_3,p_5,p_10,p_15,p_20,p_25,p_30
78820,0.250006343688347,0.1666730103818416,0.09091543469133562,0.06250634384931453,0.04762539153543192,0.03846788244499254,0.0322644085666529
78830,0.2500063428836015,0.16667300957708925,0.09091543388656627,0.06250634304452814,0.047625390730628527,0.03846788164017215,0.032264407761815474
78840,0.2500063420790601,0.16667300877254107,0.09091543308200108,0.06250634223994593,0.0476253899260293,0.03846788083555592,0.03226440695718224
78850,0.2500063412747228,0.16667300796819695,0.09091543227763996,0.06250634143556782,0.047625389121634186,0.03846788003114379,0.032264406152753125
78860,0.25000634047058945,0.16667300716405684,0.09091543147348284,0.06250634063139371,0.04762538831744309,0.038467879226935696,0.03226440534852802
78870,0.2500063396666601,0.16667300636012067,0.09091543066952967,0.06250633982742353,0.04762538751345591,0.038467878422931534,0.03226440454450688
78880,0.2500063388629345,0.1666730055563883,0.09091542986578033,0.06250633902365722,0.047625386709672604,0.03846787761913125,0.03226440374068961
78890,0.25000633805941275,0.1666730047528597,0.09091542906223475,0.06250633822009466,0.047625385906093096,0.03846787681553475,0.032264402937076136
78900,0.25000633725609456,0.16667300394953483,0.09091542825889289,0.06250633741673584,0.0476253851027173,0.03846787601214198,0.03226440213366639
78910,0.2500063364529801,0.16667300314641356,0.09091542745575464,0.06250633661358061,0.047625384299545104,0.038467875208952826,0.032264401330460275
78920,0.2500063356500691,0.1666730023434958,0.09091542665281993,0.06250633581062895,0.047625383496576475,0.03846787440596725,0.032264400527457736
78930,0.2500063348473616,0.1666730015407815,0.09091542585008867,0.06250633500788073,0.04762538269381131,0.03846787360318513,0.03226439972465867
